country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,kmeans_cluster,aid_priority,dbscan_cluster
Bosnia and Herzegovina,6.9,1369.17,511.71,2364.93,9720,1.4,76.8,1.31,4610,2,Medium Aid Need,0
Botswana,52.5,2768.6,527.0500000000001,3257.55,13300,8.92,57.1,2.88,6350,0,High Aid Need,0
Brazil,19.8,1198.3999999999999,1009.12,1321.6,14500,8.41,74.2,1.8,11200,2,Medium Aid Need,0
Brunei,10.5,23792.2,1002.52,9884.0,80600,16.7,77.1,1.84,35300,1,Low Aid Need,0
Bulgaria,10.8,3433.68,469.908,3625.2,15300,1.11,73.9,1.57,6840,2,Medium Aid Need,0
Burkina Faso,116.0,110.4,38.755,170.2,1430,6.81,57.9,5.87,575,0,High Aid Need,0
Burundi,93.6,20.6052,26.796,90.552,764,12.3,57.7,6.26,231,0,High Aid Need,0
Cambodia,44.4,425.226,44.6448,467.67,2520,3.12,66.1,2.88,786,2,Medium Aid Need,0
Cameroon,108.0,290.82,67.203,353.7,2660,1.91,57.3,5.11,1310,0,High Aid Need,0
Canada,5.6,13793.4,5356.2,14694.0,40700,2.87,81.3,1.63,47400,1,Low Aid Need,0
Cape Verde,26.5,1082.3700000000001,135.379,2045.58,5830,0.505,72.5,2.67,3310,2,Medium Aid Need,0
Central African Republic,149.0,52.628,17.750799999999998,118.19,888,2.01,47.5,5.21,446,0,High Aid Need,0
Chad,150.0,330.096,40.634100000000004,390.195,1930,6.39,56.5,6.59,897,0,High Aid Need,0
Chile,8.7,4863.3,1026.84,4037.7,19400,8.96,79.1,1.88,12900,2,Medium Aid Need,0
China,15.7,1199.28,231.192,1030.56,9530,6.94,74.6,1.59,4560,2,Medium Aid Need,0
Colombia,18.6,993.75,474.375,1112.5,10900,3.86,76.4,2.01,6250,2,Medium Aid Need,0
Comoros,88.2,126.885,34.6819,397.57300000000004,1410,3.87,65.9,4.75,769,0,High Aid Need,0
"Congo, Dem. Rep.",116.0,137.274,26.4194,165.66400000000002,609,20.8,57.5,6.54,334,0,High Aid Need,0
"Congo, Rep.",63.9,2331.74,67.404,1498.78,5190,20.7,60.4,4.95,2740,0,High Aid Need,0
Costa Rica,10.2,2722.4,893.8,2870.0,13000,6.57,80.4,1.92,8200,2,Medium Aid Need,0
Cote d'Ivoire,111.0,617.32,64.66,528.26,2690,5.39,56.3,5.27,1220,0,High Aid Need,0
Croatia,5.5,5076.0,1047.6,5143.5,20100,0.821,76.3,1.55,13500,2,Medium Aid Need,0
Cyprus,3.6,15461.6,1838.76,17710.0,33900,2.01,79.9,1.42,30800,1,Low Aid Need,0
Czech Republic,3.4,13068.0,1560.24,12454.2,28300,-1.43,77.5,1.51,19800,2,Medium Aid Need,0
Denmark,4.1,29290.0,6612.0,25288.0,44000,3.22,79.5,1.87,58000,1,Low Aid Need,0
Dominican Republic,34.4,1237.15,338.99,1814.8499999999997,11100,5.44,74.6,2.6,5450,2,Medium Aid Need,0
Ecuador,25.1,1300.14,375.59600000000006,1509.84,9350,7.47,76.7,2.66,4660,2,Medium Aid Need,0
Egypt,29.1,553.8,121.16,691.6,9860,10.1,70.5,3.19,2600,2,Medium Aid Need,0
El Salvador,19.2,804.31,206.609,1393.34,7300,2.65,74.1,2.27,2990,2,Medium Aid Need,0
Equatorial Guinea,111.0,14671.8,766.0800000000002,10071.9,33700,24.9,60.9,5.21,17100,0,High Aid Need,-1
Eritrea,55.2,23.0878,12.821200000000001,112.306,1420,11.6,61.7,4.61,482,0,High Aid Need,0
Estonia,4.5,10964.6,880.38,10030.2,22700,1.74,76.0,1.72,14600,2,Medium Aid Need,0
Fiji,24.1,2109.7,177.39,2332.35,7350,4.23,65.3,2.67,3650,2,Medium Aid Need,0
Finland,3.0,17879.4,4134.9,17278.8,39800,0.351,80.0,1.87,46200,1,Low Aid Need,0
France,4.2,10880.8,4831.4,11408.6,36900,1.05,81.4,2.03,40600,1,Low Aid Need,0
Gabon,63.7,5048.75,306.25,1653.75,15400,16.6,62.9,4.08,8750,0,High Aid Need,0
Gambia,80.3,133.756,31.977800000000002,239.97400000000002,1660,4.3,65.5,5.71,562,0,High Aid Need,0
Georgia,16.5,1036.0,298.96,1562.88,6730,8.55,72.8,1.92,2960,2,Medium Aid Need,0
Germany,4.2,17681.399999999998,4848.8,15507.8,40400,0.758,80.1,1.39,41800,1,Low Aid Need,0
Ghana,74.7,386.45,68.382,601.29,3060,16.6,62.2,4.27,1310,0,High Aid Need,0
Greece,3.9,5944.9,2770.7,8258.3,28700,0.673,80.4,1.48,26900,2,Medium Aid Need,0
Grenada,14.6,1754.06,431.88200000000006,3626.04,11200,0.48,71.3,2.24,7370,2,Medium Aid Need,0
Guatemala,35.4,730.14,193.855,1027.29,6710,5.14,71.3,3.38,2830,2,Medium Aid Need,0
Guinea,109.0,196.34400000000002,31.946399999999997,279.93600000000004,1190,16.1,58.0,5.34,648,0,High Aid Need,0
Guinea-Bissau,114.0,81.503,46.495,192.544,1390,2.97,55.6,5.05,547,0,High Aid Need,0
Guyana,37.6,1562.56,163.552,2404.64,5840,5.73,65.5,2.65,3040,2,Medium Aid Need,0
Haiti,208.0,101.286,45.7442,428.314,1500,5.45,32.1,3.33,662,0,High Aid Need,-1
Hungary,6.0,10715.8,960.23,10021.5,22300,2.33,74.5,1.25,13100,2,Medium Aid Need,0
Iceland,2.6,22374.6,3938.6,18142.699999999997,38800,5.47,82.0,2.2,41900,1,Low Aid Need,0
India,58.8,305.1,54.675,365.85,4410,8.98,66.2,2.6,1350,2,Medium Aid Need,0
Indonesia,33.3,755.73,81.17099999999999,696.64,8430,15.3,69.9,2.48,3110,2,Medium Aid Need,0
Iran,19.3,1593.32,365.68,1266.82,17400,15.9,74.5,1.76,6530,2,Medium Aid Need,0
Iraq,36.9,1773.0,378.45,1534.5,12700,16.6,67.2,4.56,4500,0,High Aid Need,0
Ireland,4.2,50161.0,4475.53,42125.5,45700,-3.22,80.4,2.05,48700,1,Low Aid Need,0
Israel,4.6,10710.0,2334.78,10067.4,29600,1.77,81.4,3.03,30600,2,Medium Aid Need,0
Italy,4.0,9021.6,3411.74,9737.6,36200,0.319,81.7,1.46,35800,1,Low Aid Need,0
Jamaica,18.1,1464.84,225.108,2321.28,8000,9.81,74.7,2.17,4680,2,Medium Aid Need,0
Japan,3.2,6675.0,4223.05,6052.0,35800,-1.9,82.8,1.39,44500,1,Low Aid Need,0
Jordan,21.1,1777.44,295.87199999999996,2539.2,9470,8.43,75.8,3.66,3680,2,Medium Aid Need,0
Kazakhstan,21.5,4008.94,389.103,2711.93,20100,19.5,68.4,2.6,9070,2,Medium Aid Need,0
Kenya,62.2,200.16899999999998,45.9325,324.91200000000003,2480,2.09,62.8,4.37,967,0,High Aid Need,0
Kiribati,62.7,198.17,168.37,1190.5100000000002,1730,1.52,60.7,3.84,1490,0,High Aid Need,0
Kuwait,10.8,25679.5,1012.55,11704.0,75200,11.2,78.2,2.21,38500,1,Low Aid Need,0
Kyrgyz Republic,29.6,454.08,54.38399999999999,718.96,2790,10.0,68.5,3.1,880,2,Medium Aid Need,0
Lao,78.9,403.56,50.95799999999999,562.02,3980,9.2,63.8,3.15,1140,0,High Aid Need,0
Latvia,7.8,6068.1,754.84,6226.3,18300,-0.812,73.1,1.36,11300,2,Medium Aid Need,0
Lebanon,10.3,3171.88,622.8580000000001,5333.72,16300,0.238,79.8,1.61,8860,2,Medium Aid Need,0
Lesotho,99.7,460.98,129.87,1181.7,2380,4.15,46.5,3.3,1170,0,High Aid Need,0
Liberia,89.3,62.45700000000001,38.586000000000006,302.80199999999996,700,5.47,60.8,5.02,327,0,High Aid Need,0
Libya,16.6,7937.5999999999985,469.48,5094.1,29600,14.2,76.1,2.41,12100,2,Medium Aid Need,0
Lithuania,6.1,7836.0,844.8,8064.0,21100,2.38,73.2,1.5,12000,2,Medium Aid Need,0
Luxembourg,2.8,183750.0,8158.5,149100.0,91700,3.62,81.3,1.63,105000,1,Low Aid Need,-1
"Macedonia, FYR",10.4,1806.92,321.88599999999997,2637.74,11400,2.04,74.0,1.47,4540,2,Medium Aid Need,0
Madagascar,62.2,103.25,15.5701,177.59,1390,8.79,60.8,4.6,413,0,High Aid Need,0
Malawi,90.5,104.652,30.2481,160.19099999999997,1030,12.1,53.1,5.31,459,0,High Aid Need,0
Malaysia,7.9,7881.83,398.17299999999994,6439.7,21100,7.27,74.5,2.15,9070,2,Medium Aid Need,0
Maldives,13.2,5509.6,449.43,4643.400000000001,10500,2.88,77.9,2.23,7100,2,Medium Aid Need,0
Mali,137.0,161.424,35.2584,248.50799999999998,1870,4.37,59.5,6.55,708,0,High Aid Need,0
Malta,6.8,32283.0,1825.15,32494.0,28300,3.83,80.3,1.36,21100,1,Low Aid Need,0
Mauritania,97.4,608.4,52.92,734.4,3320,18.9,68.2,4.98,1200,0,High Aid Need,0
Mauritius,15.0,4096.0,480.0,4976.0,15900,1.13,73.4,1.57,8000,2,Medium Aid Need,0
"Micronesia, Fed. Sts.",40.0,672.1,406.12,2316.6,3340,3.8,65.4,3.46,2860,2,Medium Aid Need,0
Moldova,17.2,638.96,190.71,1279.55,3910,11.1,69.7,1.27,1630,2,Medium Aid Need,0
Mongolia,26.1,1237.5500000000002,144.16000000000003,1502.55,7710,39.2,66.2,2.64,2650,2,Medium Aid Need,0
Montenegro,6.8,2471.6,608.548,4188.36,14000,1.6,76.4,1.77,6680,2,Medium Aid Need,0
Morocco,33.5,911.2600000000001,147.16,1216.9,6440,0.976,73.5,2.58,2830,2,Medium Aid Need,0
Mozambique,101.0,131.985,21.8299,193.57800000000003,918,7.64,54.5,5.56,419,0,High Aid Need,0
Myanmar,64.4,1.0769199999999999,19.4636,0.651092,3720,7.04,66.8,2.41,988,2,Medium Aid Need,0
Namibia,56.0,2480.8199999999997,351.88200000000006,3150.33,8460,3.56,58.6,3.6,5190,0,High Aid Need,0
Nepal,47.0,56.7136,31.08,215.488,1990,15.1,68.3,2.61,592,2,Medium Aid Need,0
Netherlands,4.5,36216.0,5985.7,31990.8,45500,0.848,80.7,1.79,50300,1,Low Aid Need,0
New Zealand,6.2,10211.1,3403.7,9436.0,32300,3.73,80.9,2.17,33700,1,Low Aid Need,0
Niger,123.0,77.256,17.9568,170.868,814,2.55,58.8,7.49,348,0,High Aid Need,0
Nigeria,130.0,589.49,118.131,405.42,5150,104.0,60.5,5.84,2330,0,High Aid Need,-1
Norway,3.2,34856.600000000006,8323.44,25023.0,62300,5.95,81.0,1.95,87800,1,Low Aid Need,-1
Oman,11.7,12680.1,534.61,7951.6,45300,15.6,76.1,2.9,19300,2,Medium Aid Need,0
Pakistan,92.1,140.4,22.88,201.76,4280,10.9,65.3,3.85,1040,0,High Aid Need,0
Panama,19.7,5656.0,654.48,6318.56,15400,2.59,77.8,2.62,8080,2,Medium Aid Need,0
Paraguay,24.1,1779.73,189.601,1663.45,7290,6.1,74.1,2.73,3230,2,Medium Aid Need,0
Peru,20.3,1395.56,255.016,1194.76,9960,5.71,77.9,2.54,5020,2,Medium Aid Need,0
Philippines,31.9,741.24,76.893,779.58,5600,4.22,69.0,3.16,2130,2,Medium Aid Need,0
Poland,6.0,5052.6,939.96,5304.6,21800,1.66,76.3,1.41,12600,2,Medium Aid Need,0
Portugal,3.9,6727.5,2475.0,8415.0,27200,0.643,79.8,1.39,22500,2,Medium Aid Need,0
Qatar,9.0,43796.9,1272.43,16731.4,125000,6.98,79.5,2.07,70300,1,Low Aid Need,-1
Romania,11.5,2682.98,459.23400000000004,3193.24,17800,3.53,73.7,1.59,8230,2,Medium Aid Need,0
Russia,10.0,3124.4,543.56,2257.7000000000003,23100,14.2,69.2,1.57,10700,2,Medium Aid Need,0
Rwanda,63.6,67.56,59.115,168.9,1350,2.61,64.6,4.51,563,0,High Aid Need,0
Samoa,18.9,1007.4,223.215,1831.95,5400,1.72,71.5,4.34,3450,2,Medium Aid Need,0
Saudi Arabia,15.7,9572.8,827.97,6369.0,45400,17.2,75.1,2.96,19300,2,Medium Aid Need,0
Senegal,66.8,249.0,56.6,403.0,2180,1.85,64.0,5.06,1000,0,High Aid Need,0
Serbia,7.6,1779.89,562.64,2591.39,12700,5.88,74.7,1.4,5410,2,Medium Aid Need,0
Seychelles,14.4,10130.4,367.2,11664.0,20400,-4.21,73.4,2.17,10800,2,Medium Aid Need,0
Sierra Leone,160.0,67.03200000000001,52.269,137.655,1220,17.2,55.0,5.2,399,0,High Aid Need,0
Singapore,2.8,93200.0,1845.36,81084.0,72100,-0.046,82.7,1.15,46600,1,Low Aid Need,-1
Slovak Republic,7.0,12665.8,1459.14,12914.8,25200,0.485,75.5,1.43,16600,2,Medium Aid Need,0
Slovenia,3.2,15046.2,2201.94,14718.6,28700,-0.987,79.5,1.57,23400,2,Medium Aid Need,0
Solomon Islands,28.1,635.9699999999999,110.29500000000002,1047.48,1780,6.81,61.7,4.24,1290,0,High Aid Need,0
South Africa,53.7,2082.08,650.832,1994.72,12000,6.35,54.3,2.59,7280,0,High Aid Need,0
South Korea,4.1,10917.4,1531.53,10210.2,30400,3.16,80.1,1.23,22100,2,Medium Aid Need,0
Spain,3.8,7828.5,2928.78,8227.6,32500,0.16,81.9,1.37,30700,1,Low Aid Need,0
Sri Lanka,11.2,550.7600000000001,82.61399999999999,753.08,8560,22.8,74.4,2.2,2810,2,Medium Aid Need,0
St. Vincent and the Grenadines,20.7,1675.87,278.481,3557.33,9920,4.44,71.6,2.07,6230,2,Medium Aid Need,0
Sudan,76.7,291.56,93.536,254.56,3370,19.6,66.3,4.88,1480,0,High Aid Need,0
Suriname,24.1,4357.5,581.83,3187.2,14200,7.2,70.3,2.52,8300,2,Medium Aid Need,0
Sweden,3.0,24070.2,5017.2300000000005,21204.7,42900,0.991,81.5,1.98,52100,1,Low Aid Need,0
Switzerland,4.5,47744.0,8579.0,39761.8,55500,0.317,82.2,1.52,74600,1,Low Aid Need,-1
Tajikistan,52.4,109.962,44.132400000000004,432.468,2110,12.5,69.6,3.51,738,2,Medium Aid Need,0
Tanzania,71.9,131.274,42.1902,204.282,2090,9.25,59.3,5.43,702,0,High Aid Need,0
Thailand,14.9,3378.2,197.10399999999998,3088.64,13500,4.08,76.6,1.55,5080,2,Medium Aid Need,0
Timor-Leste,62.6,79.2,328.32,1000.8,1850,26.5,71.1,6.23,3600,0,High Aid Need,0
Togo,90.3,196.17600000000002,37.332,279.62399999999997,1210,1.18,58.7,4.87,488,0,High Aid Need,0
Tonga,17.4,440.2,179.985,2140.65,4980,3.68,69.9,3.91,3550,2,Medium Aid Need,0
Tunisia,17.4,2090.7,257.094,2289.42,10400,3.82,76.9,2.14,4140,2,Medium Aid Need,0
Turkey,19.1,2182.7999999999997,721.18,2728.5,18000,7.01,78.2,2.15,10700,2,Medium Aid Need,0
Turkmenistan,62.0,3387.72,111.0,1975.8,9940,2.31,67.9,2.83,4440,2,Medium Aid Need,0
Uganda,81.0,101.745,53.6095,170.17,1540,10.6,56.8,6.15,595,0,High Aid Need,0
Ukraine,11.7,1398.87,229.284,1517.67,7820,13.4,70.4,1.44,2970,2,Medium Aid Need,0
United Arab Emirates,8.6,27195.0,1281.0,22260.0,57600,12.5,76.5,1.87,35000,1,Low Aid Need,0
United Kingdom,5.2,10969.8,3749.96,11981.2,36200,1.57,80.3,1.92,38900,1,Low Aid Need,0
United States,7.3,6001.6,8663.599999999999,7647.2,49400,1.22,78.7,1.93,48400,1,Low Aid Need,-1
Uruguay,10.6,3129.7,993.65,3022.6,17100,4.91,76.4,2.08,11900,2,Medium Aid Need,0
Uzbekistan,36.3,437.46,80.178,393.3,4240,16.5,68.8,2.34,1380,2,Medium Aid Need,0
Vanuatu,29.2,1384.02,155.925,1565.19,2950,2.62,63.0,3.5,2970,2,Medium Aid Need,0
Venezuela,17.1,3847.5,662.85,2376.0000000000005,16500,45.9,75.4,2.47,13500,2,Medium Aid Need,-1
Vietnam,23.3,943.2,89.604,1050.62,4490,12.1,73.1,1.95,1310,2,Medium Aid Need,0
Yemen,56.3,393.0,67.85799999999999,450.64,4480,23.6,67.5,4.67,1310,0,High Aid Need,0
Zambia,83.1,540.2,85.994,451.14,3280,14.0,52.0,5.4,1460,0,High Aid Need,0
